Profit,Date
463.2567465115163,2021-05-19 00:00:00
-159.05148296895393,2021-05-20 00:00:00
-157.4609681392644,2021-05-20 16:00:00
-155.88635845787175,2021-05-24 00:00:00
-154.32749487329303,2021-05-25 00:00:00
-152.7842199245601,2021-05-27 00:00:00
-151.25637772531448,2021-05-27 08:00:00
449.2314418441841,2021-05-28 00:00:00
-154.23612836650318,2021-05-31 00:00:00
458.0813012485144,2021-06-01 00:00:00
-157.2745800953233,2021-06-02 00:00:00
467.10550288311015,2021-06-03 00:00:00
-160.37288932320118,2021-06-03 08:00:00
-158.76916042996913,2021-06-04 20:00:00
-157.18146882566947,2021-06-07 20:00:00
-155.60965413741278,2021-06-09 00:00:00
-154.05355759603864,2021-06-10 00:00:00
-152.51302202007824,2021-06-10 08:00:00
-150.98789179987745,2021-06-11 00:00:00
-149.47801288187867,2021-06-11 20:00:00
-147.9832327530599,2021-06-14 16:00:00
-146.5034004255293,2021-06-15 08:00:00
-145.03836642127402,2021-06-16 08:00:00
-143.58798275706127,2021-06-16 20:00:00
-142.15210292949067,2021-06-22 00:00:00
-140.73058190019577,2021-06-22 20:00:00
-139.3232760811938,2021-06-25 00:00:00
-137.93004332038186,2021-06-25 08:00:00
409.65222866153414,2021-06-28 00:00:00
421.9417955213802,2021-06-28 08:00:00
-144.86668312900719,2021-06-29 00:00:00
-143.41801629771712,2021-06-30 00:00:00
-141.98383613473993,2021-07-01 00:00:00
421.69199332017763,2021-07-02 00:00:00
-144.78091770659432,2021-07-05 00:00:00
-143.33310852952837,2021-07-07 00:00:00
-141.8997774442331,2021-07-08 00:00:00
-140.48077966979076,2021-07-12 00:00:00
417.2279156192786,2021-07-13 00:00:00
-143.24825102928565,2021-07-14 00:00:00
425.44730555697845,2021-07-15 00:00:00
-146.07024157456257,2021-07-16 00:00:00
433.82861747645086,2021-07-16 20:00:00
-148.94782533358145,2021-07-20 00:00:00
442.3750412407369,2021-07-21 04:00:00
-151.882097492653,2021-07-22 00:00:00
-150.3632765177265,2021-07-22 16:00:00
-148.85964375254923,2021-08-03 20:00:00
-147.37104731502373,2021-08-06 00:00:00
437.69201052562056,2021-08-06 20:00:00
-150.27425694712971,2021-08-10 00:00:00
-148.7715143776584,2021-08-10 12:00:00
-147.2837992338818,2021-08-11 00:00:00
-145.81096124154303,2021-08-16 00:00:00
-144.35285162912757,2021-08-17 00:00:00
-142.9093231128363,2021-08-17 12:00:00
-141.48022988170794,2021-08-18 00:00:00
-140.06542758289086,2021-08-20 00:00:00
415.9943199211858,2021-08-24 00:00:00
428.4741495188215,2021-08-24 08:00:00
441.3283740043861,2021-08-25 00:00:00
454.5682252245176,2021-08-26 00:00:00
-156.06842399375105,2021-08-27 00:00:00
463.5232192614407,2021-08-30 00:00:00
